"i" "j" "cor" "p"
"90" "visits" "visits_last_12months" 0.903084995738914 0.903084995738914
"91" "sales_last_12months" "visits_last_12months" 0.609787604215404 0.609787604215404
"92" "churn_flag" "tenure..in.days." -0.101091260130105 -0.101091260130105
"93" "promo_sales_per" "tenure..in.days." -0.00738758189148921 -0.00738758189148921
"94" "margin_per" "tenure..in.days." -0.0149895227837797 -0.0149895227837797
"95" "food_visits_per" "tenure..in.days." 0.0533861616334906 0.0533861616334906
"96" "food_sales_per" "tenure..in.days." 0.0245732302300149 0.0245732302300149
"97" "food_promo_per" "tenure..in.days." 0.00726834741979222 0.00726834741979222
"98" "non_food_promo_per" "tenure..in.days." 0.00445899615747396 0.00445899615747396
"99" "food_colli_per" "tenure..in.days." 0.0308862615463982 0.0308862615463982
"100" "food_pieces_per" "tenure..in.days." 0.0200912835125791 0.0200912835125791
"101" "recency" "tenure..in.days." -0.0761162708812365 -0.0761162708812365
"102" "sales" "tenure..in.days." 0.241764702104794 0.241764702104794
"103" "visits" "tenure..in.days." 0.138197420931699 0.138197420931699
"104" "sales_last_12months" "tenure..in.days." 0.182209697594139 0.182209697594139
"105" "visits_last_12months" "tenure..in.days." 0.0716955739811988 0.0716955739811988
"106" "churn_flag" "Days.since.first.visit" -0.119999511249013 -0.119999511249013
"107" "promo_sales_per" "Days.since.first.visit" 0.0246844303436032 0.0246844303436032
"108" "margin_per" "Days.since.first.visit" -0.0631107027238764 -0.0631107027238764
"109" "food_visits_per" "Days.since.first.visit" 0.0349430900956695 0.0349430900956695
"110" "food_sales_per" "Days.since.first.visit" 0.0181623685366225 0.0181623685366225
"111" "food_promo_per" "Days.since.first.visit" 0.0270051579057692 0.0270051579057692
"112" "non_food_promo_per" "Days.since.first.visit" 0.0438605626698757 0.0438605626698757
"113" "food_colli_per" "Days.since.first.visit" 0.052724343767645 0.052724343767645
"114" "food_pieces_per" "Days.since.first.visit" 0.0422031174186587 0.0422031174186587
"115" "recency" "Days.since.first.visit" -0.090696337232743 -0.090696337232743
"116" "sales" "Days.since.first.visit" 0.248824026303766 0.248824026303766
"117" "visits" "Days.since.first.visit" 0.339882343044084 0.339882343044084
"118" "sales_last_12months" "Days.since.first.visit" 0.120239175303527 0.120239175303527
"119" "visits_last_12months" "Days.since.first.visit" 0.182275087200114 0.182275087200114
"120" "tenure..in.days." "Days.since.first.visit" 0.371746407268115 0.371746407268115
"121" "churn_flag" "sales_q1" -0.246345478113177 -0.246345478113177
"122" "promo_sales_per" "sales_q1" -0.151752898477935 -0.151752898477935
"123" "margin_per" "sales_q1" 0.0605226710628687 0.0605226710628687
"124" "food_visits_per" "sales_q1" 0.11694031968785 0.11694031968785
"125" "food_sales_per" "sales_q1" 0.10939921697305 0.10939921697305
"126" "food_promo_per" "sales_q1" -0.139192948220676 -0.139192948220676
"127" "non_food_promo_per" "sales_q1" -0.0451905855542372 -0.0451905855542372
"128" "food_colli_per" "sales_q1" 0.0949351952346128 0.0949351952346128
"129" "food_pieces_per" "sales_q1" 0.0878050871061358 0.0878050871061358
"130" "recency" "sales_q1" -0.43964931492825 -0.43964931492825
"131" "sales" "sales_q1" 0.671240833505751 0.671240833505751
"132" "visits" "sales_q1" 0.403771739419124 0.403771739419124
"133" "sales_last_12months" "sales_q1" 0.758707639826157 0.758707639826157
"134" "visits_last_12months" "sales_q1" 0.473535258225192 0.473535258225192
"135" "tenure..in.days." "sales_q1" 0.149329607524959 0.149329607524959
"136" "Days.since.first.visit" "sales_q1" 0.086741187703446 0.086741187703446
"137" "churn_flag" "sales_q3" -0.176112954677992 -0.176112954677992
"138" "promo_sales_per" "sales_q3" -0.0943139216330882 -0.0943139216330882
"139" "margin_per" "sales_q3" 0.0191978750595842 0.0191978750595842
"140" "food_visits_per" "sales_q3" 0.125684836404443 0.125684836404443
"141" "food_sales_per" "sales_q3" 0.141894599426652 0.141894599426652
"142" "food_promo_per" "sales_q3" -0.0512833184486948 -0.0512833184486948
"143" "non_food_promo_per" "sales_q3" -0.0310667095430379 -0.0310667095430379
"144" "food_colli_per" "sales_q3" 0.103709988073466 0.103709988073466
"145" "food_pieces_per" "sales_q3" 0.0885312810526575 0.0885312810526575
"146" "recency" "sales_q3" -0.138987804175241 -0.138987804175241
"147" "sales" "sales_q3" 0.76595189974818 0.76595189974818
"148" "visits" "sales_q3" 0.465166540665751 0.465166540665751
"149" "sales_last_12months" "sales_q3" 0.834760695069654 0.834760695069654
"150" "visits_last_12months" "sales_q3" 0.517967764578722 0.517967764578722
"151" "tenure..in.days." "sales_q3" 0.153380019697227 0.153380019697227
"152" "Days.since.first.visit" "sales_q3" 0.109393397986216 0.109393397986216
"153" "sales_q1" "sales_q3" 0.486234783852887 0.486234783852887
"154" "churn_flag" "sales_q4" -0.161266906827535 -0.161266906827535
"155" "promo_sales_per" "sales_q4" -0.119368858661837 -0.119368858661837
"156" "margin_per" "sales_q4" 0.00240697564328772 0.00240697564328772
"157" "food_visits_per" "sales_q4" 0.124623171705763 0.124623171705763
"158" "food_sales_per" "sales_q4" 0.125184258020678 0.125184258020678
"159" "food_promo_per" "sales_q4" -0.0901635041864036 -0.0901635041864036
"160" "non_food_promo_per" "sales_q4" -0.0299564680978577 -0.0299564680978577
"161" "food_colli_per" "sales_q4" 0.106287021838662 0.106287021838662
"162" "food_pieces_per" "sales_q4" 0.0927431239064172 0.0927431239064172
"163" "recency" "sales_q4" -0.134809316294477 -0.134809316294477
"164" "sales" "sales_q4" 0.77384350154013 0.77384350154013
"165" "visits" "sales_q4" 0.504093814457427 0.504093814457427
"166" "sales_last_12months" "sales_q4" 0.787712741817215 0.787712741817215
"167" "visits_last_12months" "sales_q4" 0.520524663677377 0.520524663677377
"168" "tenure..in.days." "sales_q4" 0.144212741908031 0.144212741908031
"169" "Days.since.first.visit" "sales_q4" 0.112168044934701 0.112168044934701
"170" "sales_q1" "sales_q4" 0.459062787237545 0.459062787237545
"171" "sales_q3" "sales_q4" 0.592073590899143 0.592073590899143
"172" "churn_flag" "sales_last_6months" -0.246225424354261 -0.246225424354261
"173" "promo_sales_per" "sales_last_6months" -0.175952209858503 -0.175952209858503
"174" "margin_per" "sales_last_6months" 0.0533111526054989 0.0533111526054989
"175" "food_visits_per" "sales_last_6months" 0.130933046025377 0.130933046025377
"176" "food_sales_per" "sales_last_6months" 0.139937780175681 0.139937780175681
"177" "food_promo_per" "sales_last_6months" -0.149393301894105 -0.149393301894105
"178" "non_food_promo_per" "sales_last_6months" -0.059337343193932 -0.059337343193932
"179" "food_colli_per" "sales_last_6months" 0.120212057780513 0.120212057780513
"180" "food_pieces_per" "sales_last_6months" 0.108251881581866 0.108251881581866
"181" "recency" "sales_last_6months" -0.345173679472393 -0.345173679472393
"182" "sales" "sales_last_6months" 0.797580309511387 0.797580309511387
"183" "visits" "sales_last_6months" 0.470947522086908 0.470947522086908
"184" "sales_last_12months" "sales_last_6months" 0.898393443615479 0.898393443615479
"185" "visits_last_12months" "sales_last_6months" 0.550214410874515 0.550214410874515
"186" "tenure..in.days." "sales_last_6months" 0.169068553555277 0.169068553555277
"187" "Days.since.first.visit" "sales_last_6months" 0.100651380732952 0.100651380732952
"188" "sales_q1" "sales_last_6months" 0.878406491075171 0.878406491075171
"189" "sales_q3" "sales_last_6months" 0.610855903073853 0.610855903073853
"190" "sales_q4" "sales_last_6months" 0.563306081132949 0.563306081132949
"191" "churn_flag" "visits_q1" -0.302156556509777 -0.302156556509777
"192" "promo_sales_per" "visits_q1" -0.0715438672361637 -0.0715438672361637
